ID	experiment	zoo	clutch	euthanised	days_survived	infection_status	slope_bd	bd_std.error	age_start	age_death	wt_start	wt_death	svl_start	svl_death	bc_start	bc_death	bc_change
Psco_169	1	MZ	1	0	98	0	0	0	269	367	1.03	0.737	22.73	22	0.01	-0.1	-0.11
Psco_267	1	TZ	16	1	73	1	0.537928364	0.141742829	291	364	1.336	0.946	25.85	23.6	0.09	-0.02	-0.11
Psco_177	1	MZ	1	1	76	1	0.336183879	0.088279034	269	345	1.1	0.76	24.23	22.52	0.03	-0.1	-0.03
Psco_275	1	MZ	1	0	98	0	0	0	269	367	1.068	0.706	25.13	24.07	0.02	-0.11	-0.13
Psco_185	1	TZ	19	1	61	1	0.511297214	0.138536631	276	337	1.107	0.748	24.5	22.58	0.03	-0.09	-0.12
Psco_283	1	MZ	4	0	98	0	0	0	271	369	1.326	1.017	24.95	24.58	0.09	0.01	-0.08
Psco_387	1	MZ	5	1	56	1	0.461242361	0.061656356	275	331	0.925	0.707	23.65	21.99	-0.02	-0.11	-0.09
Psco_299	1	MZ	1	0	98	0	0	0	269	367	1.177	1.044	23.63	24.18	0.05	0.01	-0.04
Psco_307	1	MZ	8	0	98	1	0.115235793	0.072885834	271	369	0.933	0.577	24.04	21.36	-0.02	-0.18	-0.16
Psco_418	2	MZ	36	1	70	1	0.299929316	0.05344179	192	262	1.177	0.855	25.29	22.35	0.05	-0.05	-0.1
Psco_315	1	TZ	12	0	98	0	0	0	296	394	0.954	0.787	23.08	23.49	-0.02	-0.08	-0.06
Psco_426	2	TZ	52	0	98	0	0	0	164	262	0.66	0.664	20.01	21.04	-0.14	-0.13	0
Psco_323	1	TZ	12	1	78	1	0.463113423	0.094354301	296	374	0.978	0.808	22.22	21.63	-0.01	-0.07	-0.06
Psco_434	2	MZ	37	0	98	0	0	0	200	298	0.96	1.01	24.17	25.66	-0.01	0	0.02
Psco_331	1	TZ	12	1	58	1	0.75562402	0.055029345	296	354	1.174	1.008	23.91	22.3	0.05	0	-0.05
Psco_442	2	MZ	32	1	56	1	0.484093071	0.109721253	199	255	1.015	0.971	24.63	22.13	0	-0.01	-0.01
Psco_339	1	TZ	16	1	53	1	0.590793467	0.104700913	291	344	1.07	0.747	23.43	21.71	0.02	-0.09	-0.12
